#ID	Group	Solicit	Course	Entity	Day	Hour	Bld	Type	Room	Vacanc	Matric	Priori	Special
396 84 93 156 32 2 5 5 1 87 61 75 1 1 
401 86 95 119 41 2 2 17 1 252 40 38 1 1 
402 86 95 119 41 2 3 17 1 252 40 38 1 1 
403 86 95 119 41 2 4 17 1 252 40 38 1 1 
404 86 95 119 41 2 5 17 1 252 40 38 1 1 
405 8 96 161 16 3 4 2 1 38 50 45 1 1 
406 8 96 161 16 3 5 2 1 38 50 45 1 1 
411 65 98 167 29 3 4 5 1 95 15 14 1 1 
412 65 98 167 29 3 5 5 1 86 15 14 1 1 
413 65 98 167 29 3 6 5 1 148 15 14 1 1 
414 65 98 167 29 4 4 5 1 148 15 14 1 1 
415 65 98 167 29 4 5 5 1 102 15 14 1 1 
416 65 98 167 29 4 6 5 1 67 15 14 1 1 
417 65 98 167 29 5 4 5 1 67 15 14 1 1 
418 65 98 167 29 5 5 5 1 67 15 14 1 1 
419 65 98 167 29 5 6 5 1 67 15 14 1 1 
420 55 99 142 14 4 12 17 1 262 15 9 1 1 
421 55 99 142 14 4 13 17 1 252 15 9 1 1 
422 55 99 142 14 4 15 17 1 252 15 9 1 1 
423 55 99 142 14 4 16 17 1 252 15 9 1 1 
424 55 99 142 14 4 17 17 1 239 15 9 1 1 
425 55 99 142 14 4 17 17 1 240 15 9 1 1 
426 88 100 41 13 2 14 2 1 47 48 40 1 1 
427 88 100 41 13 2 15 2 1 47 48 40 1 1 
428 88 100 41 13 4 14 2 1 45 48 40 1 1 
429 88 100 41 13 4 15 2 1 45 48 40 1 1 
434 13 102 43 27 2 2 4 1 122 60 52 1 1 
435 13 102 43 27 2 3 4 1 122 60 52 1 1 
436 13 102 43 27 2 4 4 1 122 60 52 1 1 
437 13 102 43 27 2 5 4 1 122 60 52 1 1 
438 90 103 156 32 3 2 1 1 7 25 7 2 1 
439 90 103 156 32 3 3 1 1 7 25 7 2 1 
440 90 103 156 32 3 4 1 1 27 25 7 2 1 
441 90 103 156 32 3 5 1 1 29 25 7 2 1 
449 93 107 18 33 6 2 4 1 123 31 33 1 1 
450 93 107 18 33 6 3 4 1 123 31 33 1 1 
451 93 107 18 33 6 4 4 1 -1 31 33 1 1 
452 93 107 18 33 6 5 4 1 -1 31 33 1 1 
453 94 108 154 34 2 8 1 1 15 60 54 1 1 
454 94 108 154 34 2 9 1 1 15 60 54 1 1 
455 94 108 154 34 4 8 1 1 24 60 54 1 1 
456 94 108 154 34 4 9 1 1 24 60 54 1 1 
461 96 110 103 42 2 8 5 1 60 20 15 1 1 
462 96 110 103 42 2 9 5 1 60 20 15 1 1 
463 96 110 103 42 2 10 5 1 148 20 15 1 1 
464 96 110 103 42 2 11 5 1 148 20 15 1 1 
465 97 111 19 38 3 8 2 1 30 50 26 1 1 
466 97 111 19 38 3 9 2 1 30 50 26 1 1 
467 97 111 19 38 5 8 2 1 31 50 26 1 1 
468 97 111 19 38 5 9 2 1 31 50 26 1 1 
469 98 112 161 16 2 8 5 1 59 40 35 1 1 
470 98 112 161 16 2 9 5 1 59 40 35 1 1 
471 98 112 161 16 2 10 5 1 59 40 35 1 1 
472 98 112 161 16 2 11 5 1 59 40 35 1 1 
473 99 113 155 34 2 14 1 1 14 55 48 1 1 
474 99 113 155 34 2 15 1 1 14 55 48 1 1 
475 99 113 155 34 4 14 1 1 14 55 48 1 1 
476 99 113 155 34 4 15 1 1 14 55 48 1 1 
481 30 115 155 34 2 14 1 1 23 54 75 1 1 
482 30 115 155 34 2 15 1 1 23 54 75 1 1 
483 30 115 155 34 4 14 1 1 23 54 75 1 1 
484 30 115 155 34 4 15 1 1 23 54 75 1 1 
485 26 116 156 32 5 8 1 1 17 35 36 1 1 
486 26 116 156 32 5 9 1 1 17 35 36 1 1 
487 101 117 79 40 4 14 2 1 52 60 68 1 1 
488 101 117 79 40 4 15 2 1 52 60 68 1 1 
489 101 117 79 40 4 16 2 1 44 60 68 1 1 
490 101 117 79 40 4 17 2 1 44 60 68 1 1 
491 102 118 40 13 3 16 2 1 127 58 70 1 1 
492 102 118 40 13 3 17 2 1 127 58 70 1 1 
493 102 118 40 13 6 16 2 1 -1 58 70 1 1 
494 102 118 40 13 6 17 2 1 -1 58 70 1 1 
495 103 119 95 27 4 2 4 1 -1 40 32 1 1 
496 103 119 95 27 4 3 4 1 -1 40 32 1 1 
497 103 119 95 27 4 4 4 1 -1 40 32 1 1 
498 103 119 95 27 4 5 4 1 -1 40 32 1 1 
503 104 121 4 27 2 8 4 1 117 50 59 2 1 
504 104 121 4 27 2 9 4 1 117 50 59 2 1 
505 104 121 4 27 2 10 4 1 117 50 59 2 1 
506 104 121 4 27 2 11 4 1 117 50 59 2 1 
507 34 122 12 13 3 4 2 2 4 40 26 1 1 
508 34 122 12 13 3 5 2 2 4 40 26 1 1 
509 34 122 12 13 5 4 2 2 33 40 26 1 1 
510 34 122 12 13 5 5 2 2 33 40 26 1 1 
511 105 123 29 22 5 14 5 1 59 40 40 3 1 
512 105 123 29 22 5 15 5 1 59 40 40 3 1 
513 105 123 29 22 5 16 5 1 59 40 40 3 1 
514 105 123 29 22 5 17 5 1 59 40 40 3 1 
515 106 124 18 33 5 2 4 1 124 40 22 1 1 
516 106 124 18 33 5 3 4 1 124 40 22 1 1 
517 106 124 18 33 5 4 4 1 124 40 22 1 1 
518 106 124 18 33 5 5 4 1 124 40 22 1 1 
519 107 125 53 25 2 2 5 1 90 45 45 1 1 
520 107 125 53 25 2 3 5 1 95 45 45 1 1 
521 107 125 53 25 3 2 5 1 63 45 45 1 1 
522 107 125 53 25 3 3 5 1 63 45 45 1 1 
525 109 127 41 13 5 16 2 1 47 48 26 1 1 
526 109 127 41 13 5 17 2 1 47 48 26 1 1 
527 110 128 79 40 2 14 2 1 43 60 60 1 1 
528 110 128 79 40 2 15 2 1 43 60 60 1 1 
529 110 128 79 40 4 14 2 1 53 60 60 1 1 
530 110 128 79 40 4 15 2 1 53 60 60 1 1 
531 111 129 79 40 2 14 2 1 44 60 77 1 1 
532 111 129 79 40 2 15 2 1 44 60 77 1 1 
533 111 129 79 40 2 16 2 1 44 60 77 1 1 
534 111 129 79 40 2 17 2 1 44 60 77 1 1 
538 113 131 177 12 2 2 5 1 99 60 63 1 1 
539 113 131 177 12 2 3 5 1 99 60 63 1 1 
540 113 131 177 12 4 2 5 1 63 60 63 1 1 
541 113 131 177 12 4 3 5 1 63 60 63 1 1 
542 114 132 68 24 6 3 17 1 235 50 52 3 1 
543 114 132 68 24 6 4 17 1 235 50 52 3 1 
544 114 132 68 24 6 7 17 1 235 50 52 3 1 
545 114 132 68 24 6 7 17 1 236 50 52 3 1 
546 115 133 77 38 3 10 4 1 115 40 43 1 1 
547 115 133 77 38 3 11 4 1 115 40 43 1 1 
548 115 133 77 38 5 10 4 1 124 40 43 1 1 
549 115 133 77 38 5 11 4 1 124 40 43 1 1 
550 116 134 18 33 3 2 4 1 -1 30 20 1 1 
551 116 134 18 33 3 3 4 1 -1 30 20 1 1 
552 116 134 18 33 3 4 4 1 -1 30 20 1 1 
553 116 134 18 33 3 5 4 1 -1 30 20 1 1 
554 116 134 18 33 4 2 4 1 -1 30 20 1 1 
555 116 134 18 33 4 3 4 1 -1 30 20 1 1 
556 116 134 18 33 4 4 4 1 -1 30 20 1 1 
557 116 134 18 33 4 5 4 1 -1 30 20 1 1 
558 117 135 93 32 6 2 2 1 32 50 60 1 1 
559 117 135 93 32 6 3 2 1 32 50 60 1 1 
560 117 135 93 32 6 4 2 1 32 50 60 1 1 
561 117 135 93 32 6 5 2 1 32 50 60 1 1 
562 118 136 167 29 6 2 5 1 60 20 20 1 1 
563 118 136 167 29 6 3 5 1 60 20 20 1 1 
564 118 136 167 29 6 4 5 1 60 20 20 1 1 
565 118 136 167 29 6 5 5 1 148 20 20 1 1 
566 118 136 167 29 6 8 5 1 60 20 20 1 1 
567 118 136 167 29 6 9 5 1 60 20 20 1 1 
568 118 136 167 29 6 10 5 1 60 20 20 1 1 
577 120 138 87 43 2 2 1 1 54 50 42 1 1 
578 120 138 87 43 2 3 1 1 54 50 42 1 1 
579 120 138 87 43 4 2 1 1 57 50 42 1 1 
580 120 138 87 43 4 3 1 1 57 50 42 1 1 
581 121 139 53 25 2 8 5 1 67 10 8 1 1 
582 121 139 53 25 2 9 5 1 67 10 8 1 1 
583 121 139 53 25 2 10 5 1 67 10 8 1 1 
584 121 139 53 25 2 11 5 1 67 10 8 1 1 
585 121 139 53 25 2 7 5 1 67 10 8 1 1 
586 122 140 167 29 6 2 5 1 59 14 14 1 1 
587 122 140 167 29 6 1 5 1 148 14 14 1 1 
588 3 141 53 25 2 4 5 1 90 45 22 1 1 
589 3 141 53 25 2 5 5 1 86 45 22 1 1 
590 3 141 53 25 2 6 5 1 59 45 22 1 1 
591 123 142 154 34 2 4 1 1 15 55 69 1 1 
592 123 142 154 34 2 5 1 1 15 55 69 1 1 
593 123 142 154 34 4 4 1 1 14 55 69 1 1 
594 123 142 154 34 4 5 1 1 14 55 69 1 1 
603 77 145 58 18 4 2 4 1 -1 40 28 1 1 
604 77 145 58 18 4 3 4 1 -1 40 28 1 1 
