#ID	Group	Course	Vacanc	Matric	Priori	Special	Name
1671	492	53	30	22	1	1	Farmacologia Ii
1672	389	4	50	48	1	1	Assessoria E Consultoria Em Comunicação
1674	206	41	48	22	1	1	Contabilidade De Seguros E Previdência
1675	131	12	45	32	1	1	Estatística Econômica E Introdução À Econometria
1677	25	78	10	12	1	1	Trabalho De Conclusão De Curso I
1678	157	154	50	28	1	1	Mecânica Clássica Ii
1679	5	76	25	14	1	1	Administração Da Produção E Operações
1680	21	13	60	54	1	1	Cálculo Diferencial
1681	109	41	48	24	1	1	Contabilidade De Seguros E Previdência
1684	220	43	60	64	1	1	Sociologia
1686	493	83	40	43	2	1	Tópicos Especiais Em Teoria E Estética Da Arquitetura E Da Arte
1687	227	137	40	13	1	1	Trabalho De Conclusão De Curso 2
1689	167	142	50	13	1	1	Matemática Para Ciências Da Natureza I
1690	34	12	40	24	1	1	Organização Industrial
1691	171	179	45	41	1	1	Antropologia 3
1692	239	74	60	57	1	1	Engenharia De Software
1693	102	40	50	51	1	1	Estatística Descritiva E Probabilidade
1694	494	83	40	31	1	1	Sistemas Estruturais Na Arquitetura Ii
1697	41	40	60	44	1	1	Fundamentos De Contabilidade
1698	191	161	40	21	1	1	Gestão De Unidades De Alimentação E Nutrição
1699	275	18	40	23	1	1	Estágio Supervisionado Em Geografia Iii
1700	279	43	50	46	2	1	Seminários Temáticos Em Comunicação
1701	277	133	49	49	1	1	Introdução À Computação
1702	68	88	18	14	1	1	Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii
1704	496	41	48	16	2	1	Tópicos Em Contabilidade I
1707	20	8	60	68	1	1	Geometria Analítica
1708	34	12	60	47	1	1	Economia Política
1712	499	189	40	39	1	1	Lógica Matemática
1714	500	188	25	15	1	1	Química Geral
1717	109	41	24	32	2	1	Tópicos Em Contabilidade I
1722	34	12	50	39	1	1	Fundamentos De Contabilidade
1723	500	188	25	15	1	1	Introdução À Química Industrial
1724	229	83	20	15	1	1	Espaço Arquitetônico: Percepção E Representação
1726	34	12	50	46	1	1	Fundamentos De Contabilidade
1727	166	167	10	3	1	1	Determinantes Biológicos No Processo Saúde - Doença I
1730	20	8	60	49	1	1	Física I
1732	109	41	48	13	2	1	Tópicos Em Contabilidade Ii
1736	69	79	50	16	3	1	Comunicação Organizacional
1737	206	41	48	3	2	1	Tópicos Em Contabilidade Ii
1738	109	41	48	4	2	1	Tópicos Em Contabilidade Ii
1739	313	60	40	61	1	1	Algoritmos E Estruturas De Dados 1
1740	299	154	50	35	1	1	Introdução À Computação
1743	229	83	40	35	1	1	Desenho: Observação E Expressão
1745	68	88	12	10	1	1	Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii
1746	206	41	24	25	2	1	Tópicos Em Contabilidade I
1749	263	77	50	36	1	1	Cálculo Diferencial
1751	69	79	60	29	1	1	Laboratório De Engenharia De Software
1754	36	60	45	45	1	1	Visualização De Informações
1756	34	12	60	33	1	1	Economia Política
1757	500	188	25	18	1	1	Fundamentos Da Matemática Aplicados À Química
1758	436	83	25	42	3	1	Dibujo Del Paisaje Urbano
1760	8	161	22	1	1	1	Introdução À Prática Profissional
1761	505	74	40	24	1	1	Segurança
1765	229	83	40	36	1	1	Introdução À Arquitetura I
1766	499	189	40	39	1	1	Empreendedorismo
1767	109	41	48	12	2	1	Tópicos Em Contabilidade I
1770	69	79	45	33	2	1	Linguagem De Programação Java
1771	20	8	60	55	1	1	Física I
1772	20	8	60	60	1	1	Cálculo 1a
1774	8	161	22	1	1	1	Introdução À Prática Profissional
1776	506	88	10	1	1	1	Parasitologia Humana
1780	509	142	50	1	1	1	Ciências Da Natureza: Química Iii
1784	499	189	40	39	1	1	Introdução À Programação
1785	34	12	110	79	1	1	Princípios De Economia
1786	221	53	50	58	1	1	Cálculo 1c
1787	142	74	60	44	1	1	Cálculo 1a
1788	170	60	60	28	1	1	Cálculo Numérico
1789	107	53	18	14	1	1	Bacteriologia Humana
1790	40	167	15	15	1	1	Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço
1791	65	167	15	14	1	1	Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço
1792	239	74	60	15	1	1	Probabilidade E Estatística A
1793	110	79	60	27	1	1	Probabilidade E Estatística A
1794	313	60	60	69	1	1	Geometria Analítica
1795	221	53	50	39	1	1	Cálculo 1c
1796	353	74	60	53	1	1	Álgebra Linear
1797	269	167	15	12	1	1	Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço
1798	511	7	1	1	1	1	Imunologia
1799	135	167	15	14	1	1	Saúde Do Adulto E Do Idoso - Endocrinologia, Otorrinolaringologia, Cirurgia De Cabeça E Pescoço
1800	9	60	60	76	1	1	Álgebra Linear
1801	9	60	60	50	1	1	Probabilidade E Estatística A
1802	430	60	60	17	1	1	Equações Diferenciais Ordinárias
1803	512	78	12	17	1	1	Estágio Em Educ. Inf. E Anos Ini. Do Ens. Fund Iii
1804	83	60	60	52	1	1	Cálculo 1a
1806	516	24	30	30	1	1	Fisiologia
1807	241	80	40	34	1	1	Imunologia Básica
1808	40	167	15	11	1	1	Saúde Do Adulto E Do Idoso - Psiquiatria/Medicina Legal E Saúde Mental Coletiva
1809	478	53	25	25	1	1	Introdução À Farmacologia
1810	427	73	50	38	1	1	Introdução À Computação
1811	89	30	5	1	1	1	Núcleos Temáticos De Pesquisa
1812	9	60	60	63	1	1	Física Iii
1813	430	60	60	29	1	1	Circuitos Digitais
1814	517	48			3	1	
1815	221	53	40	40	1	1	Farmacobotânica
1816	518	60	60	3	1	1	Direito
1817	519	13	1	1	1	1	Cálculo 1a
1818	141	161	27	28	1	1	Promoção Da Saúde I
1819	221	53	60	14	1	1	Biofísica
